0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10000000149011612,0.0,0.0,1.0,1.0,1.0,1.0,0.0,10.0,0.0,27.899999618530273,7.78000020980835,1687.9300537109375,0.07000000029802322,57.0,0.12999999523162842,93.7699966430664,217.02000427246094,1.0,0.0,0.0,2.0,0.07999999821186066,28.0,29.0,9.0,5.0,13.0,0.0,10.0,0.0
1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.07000000029802322,0.0,0.0,1.0,1.0,5.0,1.0,0.0,14.0,2.0,40.66999816894531,14.0,7972.25,0.1899999976158142,107.0,0.07000000029802322,442.8999938964844,569.4500122070312,1.0,0.0,0.0,6.0,0.05999999865889549,52.0,55.0,26.0,14.0,16.0,0.0,14.0,0.0
27.0,19.0,1.0,4.0,13.0,26.0,11.0,0.25999999046325684,12.0,2.1700000762939453,2.0,0.18000000715255737,34.0,1.0,0.0,38.0,0.0,33.7400016784668,23.200000762939453,18157.8203125,0.25999999046325684,136.0,0.03999999910593033,1008.77001953125,782.6599731445312,0.09000000357627869,7.0,13.0,25.0,0.12999999523162842,58.0,78.0,30.0,24.0,83.0,30.90999984741211,42.0,0.0
2.0,17.0,2.0,0.0,0.0,24.0,9.0,0.4699999988079071,8.0,3.0,4.0,0.4399999976158142,32.0,6.0,0.6299999952316284,19.0,2.0,26.329999923706055,31.739999771118164,26522.640625,0.2800000011920929,154.0,0.029999999329447746,1473.47998046875,835.6400146484375,0.6700000166893005,8.0,14.0,25.0,0.4099999964237213,73.0,81.0,23.0,20.0,22.0,0.0,19.0,0.0
6.0,1.0,1.0,0.0,2.0,0.0,1.0,0.10999999940395355,0.0,0.0,1.0,1.0,2.0,1.0,0.0,9.0,0.0,42.25,4.429999828338623,830.3499755859375,0.05999999865889549,42.0,0.23000000417232513,46.130001068115234,187.3000030517578,1.0,0.0,0.0,3.0,0.05999999865889549,19.0,23.0,15.0,7.0,18.0,18.18000030517578,9.0,0.0
1.0,15.0,3.0,0.0,0.0,28.0,8.0,0.2800000011920929,14.0,2.0,6.0,0.75,32.0,6.0,0.7099999785423279,29.0,2.0,25.809999465942383,30.06999969482422,23331.580078125,0.25999999046325684,143.0,0.029999999329447746,1296.199951171875,775.9600219726562,0.75,7.0,14.0,26.0,0.25999999046325684,63.0,80.0,22.0,21.0,31.0,0.0,29.0,0.0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.33000001311302185,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,8.0,3.0,72.0,0.009999999776482582,8.0,0.33000001311302185,4.0,24.0,1.0,0.0,0.0,2.0,0.20000000298023224,2.0,6.0,2.0,6.0,5.0,25.0,3.0,0.0
26.0,5.0,4.0,0.0,4.0,8.0,3.0,0.07000000029802322,4.0,2.0,3.0,1.0,15.0,1.0,0.0,41.0,1.0,46.77000045776367,30.690000534057617,44054.94921875,0.47999998927116394,243.0,0.029999999329447746,2447.5,1435.3699951171875,0.33000001311302185,2.0,4.0,14.0,0.03999999910593033,114.0,129.0,39.0,21.0,72.0,8.890000343322754,41.0,1.0
3.0,9.0,3.0,0.0,0.0,16.0,5.0,0.20999999344348907,8.0,2.0,4.0,0.800000011920929,21.0,1.0,0.0,24.0,3.0,33.709999084472656,14.84000015258789,7426.60009765625,0.17000000178813934,101.0,0.07000000029802322,412.5899963378906,500.3699951171875,0.20000000298023224,4.0,8.0,18.0,0.18000000715255737,47.0,54.0,19.0,12.0,28.0,0.0,24.0,0.0
6.0,37.0,2.0,5.0,4.0,60.0,19.0,0.23000000417232513,24.0,2.5,2.0,0.10999999940395355,63.0,18.0,0.9399999976158142,77.0,1.0,60.939998626708984,26.479999542236328,42724.78125,0.5400000214576721,266.0,0.03999999910593033,2373.60009765625,1613.5799560546875,0.949999988079071,18.0,30.0,46.0,0.20000000298023224,116.0,150.0,46.0,21.0,93.0,10.470000267028809,82.0,0.0
3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.05999999865889549,0.0,0.0,1.0,1.0,4.0,1.0,0.0,17.0,0.0,43.58000183105469,12.619999885559082,6939.41015625,0.18000000715255737,111.0,0.07999999821186066,385.5199890136719,549.9199829101562,1.0,0.0,0.0,5.0,0.05000000074505806,53.0,58.0,21.0,10.0,21.0,0.0,17.0,0.0
