prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,1,FunctionTransformer,,,,,distance,KNeighborsClassifier,,8,,,manhattan,,,,,previous_constraint,-inf
discretization_features_imputation_normalization_classification,,,,,PowerTransformer,SimpleImputer,most_frequent,,,SelectKBest,,2,Binarizer,5.0,,,,,GaussianNB,,,,,,,,,,fail,-inf
discretization_imputation_normalization_features_classification,,,,,PowerTransformer,SimpleImputer,most_frequent,,,PCA,1,,KBinsDiscretizer,,uniform,3,ordinal,,DecisionTreeClassifier,best,,3,2,,3,2,3,entropy,fail,-inf
imputation_normalization_features_discretization_classification,False,,False,,StandardScaler,FunctionTransformer,,,,FunctionTransformer,,,Binarizer,5.0,,,,,GaussianNB,,,,,,,,,,fail,-inf
imputation_discretization_features_normalization_classification,,,,,FunctionTransformer,IterativeImputer,,most_frequent,random,SelectKBest,,1,KBinsDiscretizer,,kmeans,6,ordinal,,GaussianNB,,,,,,,,,,fail,-inf
normalization_features_discretization_imputation_classification,,,,,PowerTransformer,SimpleImputer,most_frequent,,,PCA,2,,KBinsDiscretizer,,kmeans,5,ordinal,,GaussianNB,,,,,,,,,,fail,-inf
discretization_imputation_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,6,ordinal,distance,KNeighborsClassifier,,15,,,manhattan,,,,,previous_constraint,-inf
features_discretization_imputation_normalization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,SelectKBest,,1,KBinsDiscretizer,,kmeans,6,ordinal,,DecisionTreeClassifier,random,,4,4,,2,2,1,gini,fail,-inf
features_imputation_discretization_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,3,ordinal,,GaussianNB,,,,,,,,,,fail,-inf
normalization_discretization_features_imputation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,SelectKBest,,2,KBinsDiscretizer,,quantile,3,ordinal,,DecisionTreeClassifier,random,,2,2,,4,2,1,gini,fail,-inf
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,fail,-inf
imputation_features_discretization_normalization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,SelectKBest,,3,KBinsDiscretizer,,uniform,4,ordinal,,DecisionTreeClassifier,random,,4,2,,4,1,2,entropy,fail,-inf
discretization_features_imputation_normalization_classification,,,,,PowerTransformer,SimpleImputer,constant,,,PCA,1,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,2,1,,2,2,3,entropy,fail,-inf
imputation_normalization_features_discretization_classification,False,,False,,StandardScaler,IterativeImputer,,constant,roman,FunctionTransformer,,,Binarizer,5.0,,,,uniform,KNeighborsClassifier,,3,,,minkowski,,,,,success,0.6413362500544164
features_imputation_normalization_discretization_classification,False,,True,,StandardScaler,IterativeImputer,,constant,roman,PCA,1,,Binarizer,5.0,,,,uniform,KNeighborsClassifier,,3,,,minkowski,,,,,fail,-inf
imputation_normalization_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,descending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,3,,,minkowski,,,,,success,0.7735766836445955
features_normalization_imputation_discretization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,PCA,2,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,2,4,,2,2,1,gini,fail,-inf
