0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
17.0,11.0,5.0,2.0,8.0,20.0,6.0,0.25,10.0,2.0,4.0,0.6700000166893005,29.0,1.0,0.0,22.0,7.0,37.84000015258789,13.829999923706055,7233.6298828125,0.17000000178813934,102.0,0.07000000029802322,401.8699951171875,523.1900024414062,0.17000000178813934,5.0,10.0,25.0,0.10999999940395355,53.0,49.0,23.0,12.0,57.0,31.25,24.0,0.0
2.0,9.0,3.0,0.0,1.0,16.0,5.0,0.5600000023841858,6.0,2.0,3.0,0.6000000238418579,17.0,4.0,0.0,9.0,1.0,12.5,13.0,2112.699951171875,0.05000000074505806,37.0,0.07999999821186066,117.37000274658203,162.52000427246094,0.800000011920929,5.0,8.0,14.0,0.36000001430511475,13.0,24.0,7.0,14.0,14.0,10.0,9.0,0.0
2.0,5.0,1.0,1.0,1.0,6.0,3.0,0.17000000178813934,2.0,3.0,2.0,0.6700000166893005,8.0,3.0,1.0,17.0,1.0,15.989999771118164,12.4399995803833,2476.89990234375,0.07000000029802322,44.0,0.07999999821186066,137.61000061035156,199.0399932861328,1.0,2.0,3.0,7.0,0.12999999523162842,16.0,28.0,9.0,14.0,23.0,10.529999732971191,18.0,0.0
4.0,5.0,1.0,0.0,0.0,8.0,3.0,0.30000001192092896,4.0,2.0,2.0,0.6700000166893005,11.0,1.0,0.0,10.0,0.0,21.059999465942383,5.849999904632568,720.6599731445312,0.03999999910593033,29.0,0.17000000178813934,40.040000915527344,123.19000244140625,0.33000001311302185,2.0,4.0,10.0,0.1899999976158142,13.0,16.0,10.0,9.0,16.0,0.0,10.0,0.0
7.0,5.0,1.0,3.0,0.0,0.0,3.0,0.15000000596046448,0.0,0.0,1.0,0.33000001311302185,11.0,1.0,0.0,17.0,2.0,21.09000015258789,13.0,3563.679931640625,0.09000000357627869,72.0,0.07999999821186066,197.97999572753906,274.1300048828125,0.33000001311302185,0.0,0.0,10.0,0.10999999940395355,26.0,46.0,7.0,7.0,28.0,15.0,20.0,0.0
5.0,11.0,5.0,0.0,0.0,20.0,6.0,0.46000000834465027,10.0,2.0,5.0,0.8299999833106995,26.0,1.0,0.0,13.0,0.0,27.559999465942383,14.399999618530273,5715.2099609375,0.12999999523162842,89.0,0.07000000029802322,317.510009765625,396.8900146484375,0.17000000178813934,5.0,10.0,22.0,0.25,24.0,65.0,10.0,12.0,24.0,0.0,13.0,0.0
2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.33000001311302185,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,8.979999542236328,2.5,56.150001525878906,0.009999999776482582,8.0,0.4000000059604645,3.119999885559082,22.459999084472656,1.0,0.0,0.0,2.0,0.14000000059604645,2.0,6.0,2.0,5.0,7.0,0.0,3.0,0.0
2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.33000001311302185,0.0,0.0,1.0,0.33000001311302185,9.0,1.0,0.0,9.0,1.0,12.720000267028809,10.3100004196167,1352.8299560546875,0.03999999910593033,29.0,0.10000000149011612,75.16000366210938,131.17999267578125,0.33000001311302185,0.0,0.0,8.0,0.23000000417232513,11.0,18.0,8.0,15.0,13.0,0.0,9.0,0.0
36.0,21.0,1.0,18.0,43.0,38.0,11.0,0.1599999964237213,18.0,2.0,3.0,0.27000001072883606,42.0,1.0,0.0,51.0,0.0,15.890000343322754,87.81999969482422,122506.359375,0.4699999988079071,279.0,0.009999999776482582,6805.91015625,1395.0,0.09000000357627869,10.0,19.0,33.0,0.07000000029802322,92.0,187.0,11.0,21.0,150.0,54.459999084472656,69.0,1.0
1.0,9.0,3.0,0.0,0.0,0.0,5.0,0.2800000011920929,0.0,0.0,5.0,1.0,24.0,1.0,0.0,18.0,0.0,31.670000076293945,17.049999237060547,9208.5498046875,0.18000000715255737,109.0,0.05999999865889549,511.5899963378906,540.010009765625,0.20000000298023224,0.0,0.0,21.0,0.23999999463558197,54.0,55.0,19.0,12.0,21.0,0.0,18.0,0.0
6.0,5.0,1.0,1.0,4.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33000001311302185,11.0,1.0,0.0,11.0,1.0,12.300000190734863,29.0,10341.8798828125,0.11999999731779099,75.0,0.029999999329447746,574.5499877929688,356.6199951171875,0.33000001311302185,2.0,4.0,10.0,0.12999999523162842,29.0,46.0,9.0,18.0,24.0,31.25,12.0,0.0
0.0,69.0,8.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,11.0,0.3100000023841858,141.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5400000214576721,0.0,0.0,108.0,0.4399999976158142,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0
1.0,3.0,1.0,1.0,19.0,4.0,2.0,0.09000000357627869,2.0,2.0,1.0,0.5,6.0,1.0,0.0,21.0,2.0,27.559999465942383,24.75,16880.9296875,0.23000000417232513,139.0,0.03999999910593033,937.8300170898438,682.0599975585938,0.5,1.0,2.0,6.0,0.03999999910593033,33.0,106.0,12.0,18.0,45.0,48.779998779296875,22.0,0.0
10.0,17.0,1.0,1.0,3.0,30.0,9.0,0.3100000023841858,14.0,2.0,5.0,0.5600000023841858,31.0,7.0,0.0,28.0,0.0,13.960000038146973,25.06999969482422,8776.91015625,0.11999999731779099,81.0,0.03999999910593033,487.6099853515625,350.0799865722656,0.7799999713897705,8.0,15.0,24.0,0.20000000298023224,27.0,54.0,7.0,13.0,44.0,12.5,29.0,0.0
4.0,5.0,1.0,0.0,8.0,8.0,3.0,0.1599999964237213,4.0,2.0,1.0,0.33000001311302185,11.0,1.0,0.0,19.0,0.0,35.2400016784668,18.0,11416.4697265625,0.20999999344348907,120.0,0.05999999865889549,634.25,634.25,0.33000001311302185,2.0,4.0,10.0,0.09000000357627869,42.0,78.0,21.0,18.0,33.0,29.6299991607666,19.0,0.0
3.0,3.0,0.0,1.0,2.0,0.0,2.0,0.18000000715255737,0.0,0.0,1.0,0.5,6.0,1.0,0.0,10.0,0.0,8.34000015258789,18.670000076293945,2905.919921875,0.05000000074505806,45.0,0.05000000074505806,161.44000244140625,155.6699981689453,0.5,0.0,0.0,6.0,0.10999999940395355,14.0,31.0,3.0,8.0,18.0,23.079999923706055,11.0,0.0
