rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__solver,classification__shrinking,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__n_estimators,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__learning_rate,classification__kernel,classification__gamma,classification__degree,classification__criterion,classification__bootstrap,classification__alpha,classification__activation,classification__'C',accuracy__status,accuracy__accuracy
NearMiss,2,,features_discretization_rebalancing_normalization_imputation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,4,FunctionTransformer,,,,,distance,KNeighborsClassifier,,,,,15,,,,,minkowski,,,,,,,,,,,,,fail,-inf
FunctionTransformer,,,imputation_discretization_rebalancing_features_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,PCA,7,,KBinsDiscretizer,,quantile,6,ordinal,uniform,KNeighborsClassifier,,,,,4,,,,,euclidean,,,,,,,,,,,,,fail,-inf
NearMiss,2,,rebalancing_features_normalization_discretization_imputation_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,1,KBinsDiscretizer,,quantile,6,ordinal,,SVC,,,True,,,,,,,,,,,,rbf,auto,5,,,,,5,fail,-inf
FunctionTransformer,,,discretization_normalization_features_imputation_rebalancing_classification,,,,,PowerTransformer,SimpleImputer,constant,,,PCA,6,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,,,,5,5,,3,3,4,,,,,entropy,,,,,fail,-inf
SMOTE,,7,features_normalization_rebalancing_discretization_imputation_classification,False,,False,,StandardScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,KBinsDiscretizer,,quantile,7,ordinal,,DecisionTreeClassifier,best,,,,,,,5,5,,3,1,1,,,,,entropy,,,,,fail,-inf
SMOTE,,7,imputation_discretization_rebalancing_normalization_features_classification,,False,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,2.0,,,,,RandomForestClassifier,,,,,,,10,2,,,5,1,3,,,,,gini,False,,,,success,0.8333333333333333
SMOTE,,6,imputation_rebalancing_discretization_normalization_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,2,FunctionTransformer,,,,,,MLPClassifier,,sgd,,25,,10,,,,,,,,invscaling,,,,,,0.01,tanh,,fail,-inf
FunctionTransformer,,,features_rebalancing_imputation_discretization_normalization_classification,,,,,PowerTransformer,SimpleImputer,constant,,,PCA,5,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,,,,3,,,,,manhattan,,,,,,,,,,,,,fail,-inf
SMOTE,,5,rebalancing_features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,4,KBinsDiscretizer,,kmeans,7,ordinal,,DecisionTreeClassifier,random,,,,,,,5,3,,3,3,1,,,,,gini,,,,,fail,-inf
FunctionTransformer,,,rebalancing_normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,5,ordinal,,SVC,,,False,,,,,,,,,,,,rbf,auto,20,,,,,0.05,fail,-inf
